código,NOME,ESCALAS:
50,0059PA 4X1 15:00 AS 00:00,0059PA 4X1 15:00 AS 00:00
51,0055 2X1 08:00 AS 18:00,0055 2X1 08:00 AS 18:00
52,0054PA 12X36 NOTURNO 19:00 AS 07:00,0054PA 12X36 NOTURNO 19:00 AS 07:00
53,0053PA 12X36 DIURNO 07:00 AS 19:00,0053PA 12X36 DIURNO 07:00 AS 19:00
54,0047PA SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00,0047PA SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00
55,0026PA 7:00 11:00 / 13:00 17:00,0026PA 7:00 11:00 / 13:00 17:00
56,0045 SEG A SAB 15:00 AS 22:00,0045 SEG A SAB 15:00 AS 22:00
57,0063PA 4X1 21:00 AS 06:00,0063PA 4X1 21:00 AS 06:00
58,0043 SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30,0043 SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30
59,0062PA 4X1 19:00 AS 04:00,0062PA 4X1 19:00 AS 04:00
60,0050PA SEG A QUI 08:40 AS 19:00:40 SEX 08:40 AS 18:00:40 REF 02:00,0050PA SEG A QUI 08:40 AS 19:00:40 SEX 08:40 AS 18:00:40 REF 02:00
61,0052PA SEG A SEX 16:00 AS 01:00 SAB 16:00 AS 00:00,0052PA SEG A SEX 16:00 AS 01:00 SAB 16:00 AS 00:00
62,0005PA SEG A SEX 20:00 AS 05:00:48,0005PA SEG A SEX 20:00 AS 05:00:48
63,0064 TER A SEX DAS 10:00 AS 20:00 SAB DAS 10:00 AS 19:00,0064 TER A SEX DAS 10:00 AS 20:00 SAB DAS 10:00 AS 19:00
64,0065PA TER A SEX DAS 13:00 AS 22:00 SAB DAS 13:00 AS 17:00,0065PA TER A SEX DAS 13:00 AS 22:00 SAB DAS 13:00 AS 17:00
65,0066PA SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00,0066PA SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00
66,0067PA SEG A QUI DAS 06:30 AS 16:00:30 SEX DAS 06:30 AS 15:00:30,0067PA SEG A QUI DAS 06:30 AS 16:00:30 SEX DAS 06:30 AS 15:00:30
67,0076PA SEG A SEX DAS 05:00 AS 14:00 SAB 07:00 AS 11:00,0076PA SEG A SEX DAS 05:00 AS 14:00 SAB 07:00 AS 11:00
68,DESCONTO DSR,DESCONTO DSR
69,0067PA SEG A SEX 15:00 AS 01:00,0067PA SEG A SEX 15:00 AS 01:00
70,0068 SEG A QUI 13:00 AS 23:00 SEX 13:00 AS 22:00,0068 SEG A QUI 13:00 AS 23:00 SEX 13:00 AS 22:00
71,0069PA SEG A SEX 19:00 AS 05:00,0069PA SEG A SEX 19:00 AS 05:00
