código,NOME,ESCALAS:
209,TMA 4X1 4X2 3X2 3X2 21:30 AS 07:00:10 C,TMA 4X1 4X2 3X2 3X2 21:30 AS 07:00:10 C
210,TMA 4X1 4X2 3X2 3X2 06:30 AS 16:00:10 A,TMA 4X1 4X2 3X2 3X2 06:30 AS 16:00:10 A
211,TMA 4X1 4X2 3X2 3X2 06:30 AS 16:00:10 B,TMA 4X1 4X2 3X2 3X2 06:30 AS 16:00:10 B
212,TMA 4X1 4X2 3X2 3X2 06:30 AS 16:00:10 C,TMA 4X1 4X2 3X2 3X2 06:30 AS 16:00:10 C
213,0102 SEG A SEX 06:00 AS 15:00,0102 SEG A SEX 06:00 AS 15:00
214,0103PA 12X36 11:00 AS 23:00,0103PA 12X36 11:00 AS 23:00
215,0104PA 12X36 20:00 AS 08:00,0104PA 12X36 20:00 AS 08:00
216,0105PA TER A SEX 09:00 AS 19:00 SAB 09:00 AS 18:00,0105PA TER A SEX 09:00 AS 19:00 SAB 09:00 AS 18:00
217,0106PA SEG A SAB 11:00 AS 19:00:20,0106PA SEG A SAB 11:00 AS 19:00:20
218,0107PA SEG A QUI 20:30 AS 06:00:30 E SEX 20:30 AS 05:00:30 COPIA,0107PA SEG A QUI 20:30 AS 06:00:30 E SEX 20:30 AS 05:00:30 COPIA
219,TMA 4X1 4X2 3X2 3X2 09:30 AS 19:00:10 A,TMA 4X1 4X2 3X2 3X2 09:30 AS 19:00:10 A
220,TMA 4X1 4X2 3X2 3X2 09:30 AS 19:00:10 B,TMA 4X1 4X2 3X2 3X2 09:30 AS 19:00:10 B
221,TMA 4X1 4X2 3X2 3X2 09:30 AS 19:00:10 C,TMA 4X1 4X2 3X2 3X2 09:30 AS 19:00:10 C
222,109PA SEG A SEX 12:00 AS 21:00 SAB 09:00 AS 13:00,109PA SEG A SEX 12:00 AS 21:00 SAB 09:00 AS 13:00
223,110 SEG A QUI 16:00 AS 02:00 SEX 16:00 AS 01:00,110 SEG A QUI 16:00 AS 02:00 SEX 16:00 AS 01:00
224,111 SEG A QUIN 18:00 AS 04:00 SEX 18:00 AS 03:00,111 SEG A QUIN 18:00 AS 04:00 SEX 18:00 AS 03:00
225,0112 SEG A SEX 07:00 AS 16:00,0112 SEG A SEX 07:00 AS 16:00
226,0113 SEG A SEX 08:00 AS 15:00,0113 SEG A SEX 08:00 AS 15:00
227,0114 SEG A SEX 11:00 AS 18:00,0114 SEG A SEX 11:00 AS 18:00
228,0115 SEG A SEX 12:00 AS 19:00,0115 SEG A SEX 12:00 AS 19:00
229,0116 SEG A SEX 07:00 AS 14:00,0116 SEG A SEX 07:00 AS 14:00
230,TMA 4X1 4X2 3X2 3X2 21:40 AS 07:00:20 A,TMA 4X1 4X2 3X2 3X2 21:40 AS 07:00:20 A
231,TMA 4X1 4X2 3X2 3X2 21:40 AS 07:00:20 B,TMA 4X1 4X2 3X2 3X2 21:40 AS 07:00:20 B
232,TMA 4X1 4X2 3X2 3X2 21:40 AS 07:00:20 C,TMA 4X1 4X2 3X2 3X2 21:40 AS 07:00:20 C
233,TMA 4X1 4X2 3X2 3X2 05:40 AS 15:00:20 A,TMA 4X1 4X2 3X2 3X2 05:40 AS 15:00:20 A
234,TMA 4X1 4X2 3X2 3X2 05:40 AS 15:00:20 B,TMA 4X1 4X2 3X2 3X2 05:40 AS 15:00:20 B
235,TMA 4X1 4X2 3X2 3X2 05:40 AS 15:00:20 C,TMA 4X1 4X2 3X2 3X2 05:40 AS 15:00:20 C
236,TMA 4X1 4X2 3X2 3X2 11:40 AS 21:00:20 A,TMA 4X1 4X2 3X2 3X2 11:40 AS 21:00:20 A
237,TMA 4X1 4X2 3X2 3X2 11:40 AS 21:00:20 B,TMA 4X1 4X2 3X2 3X2 11:40 AS 21:00:20 B
238,TMA 4X1 4X2 3X2 3X2 11:40 AS 21:00:20 C,TMA 4X1 4X2 3X2 3X2 11:40 AS 21:00:20 C
239,TMA 4X1 4X2 3X2 3X2 13:40 AS 23:00:20 A,TMA 4X1 4X2 3X2 3X2 13:40 AS 23:00:20 A
240,TMA 4X1 4X2 3X2 3X2 13:40 AS 23:00:20 B,TMA 4X1 4X2 3X2 3X2 13:40 AS 23:00:20 B
241,TMA 4X1 4X2 3X2 3X2 13:40 AS 23:00:20 C,TMA 4X1 4X2 3X2 3X2 13:40 AS 23:00:20 C
242,0121PA SEG A QUIN 03:30:00 AS 13:00:30 SEX 03:30:00 AS 12:00:30,0121PA SEG A QUIN 03:30:00 AS 13:00:30 SEX 03:30:00 AS 12:00:30
243,0122 10:00 AS 17:00,0122 10:00 AS 17:00
244,0123PA SEG 07:00 AS 16:00 / TER SEX 07:00 AS 17:00,0123PA SEG 07:00 AS 16:00 / TER SEX 07:00 AS 17:00
245,0123 SEG 07:00 AS 16:00 / TER SEX 07:00 AS 17:00,0123 SEG 07:00 AS 16:00 / TER SEX 07:00 AS 17:00
246,TMA 4X1 4X2 3X2 3X2 06:40 AS 16:00:20 A,TMA 4X1 4X2 3X2 3X2 06:40 AS 16:00:20 A
247,TMA 4X1 4X2 3X2 3X2 15:40 AS 01:00:20 C,TMA 4X1 4X2 3X2 3X2 15:40 AS 01:00:20 C
248,TMA 4X1 4X2 3X2 3X2 06:40 AS 16:00:20 B,TMA 4X1 4X2 3X2 3X2 06:40 AS 16:00:20 B
249,TMA 4X1 4X2 3X2 3X2 06:40 AS 16:00:20 C,TMA 4X1 4X2 3X2 3X2 06:40 AS 16:00:20 C
250,TMA 4X1 4X2 3X2 3X2 07:40 AS 17:00:20 A,TMA 4X1 4X2 3X2 3X2 07:40 AS 17:00:20 A
251,TMA 4X1 4X2 3X2 3X2 07:40 AS 17:00:20 B,TMA 4X1 4X2 3X2 3X2 07:40 AS 17:00:20 B
252,TMA 4X1 4X2 3X2 3X2 07:40 AS 17:00:20 C,TMA 4X1 4X2 3X2 3X2 07:40 AS 17:00:20 C
253,TMA 4X1 4X2 3X2 3X2 15:40 AS 01:00:20 A,TMA 4X1 4X2 3X2 3X2 15:40 AS 01:00:20 A
254,TMA 4X1 4X2 3X2 3X2 15:40 AS 01:00:20 B,TMA 4X1 4X2 3X2 3X2 15:40 AS 01:00:20 B
255,0127(PA) SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00,0127(PA) SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00
256,0127 SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00,0127 SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00
257,TMA 4X1 4X2 3X2 3X2 09:40 AS 19:00:20 A,TMA 4X1 4X2 3X2 3X2 09:40 AS 19:00:20 A
258,TMA 4X1 4X2 3X2 3X2 09:40 AS 19:00:20 B,TMA 4X1 4X2 3X2 3X2 09:40 AS 19:00:20 B
259,TMA 4X1 4X2 3X2 3X2 09:40 AS 19:00:20 C,TMA 4X1 4X2 3X2 3X2 09:40 AS 19:00:20 C
260,TMA 4X1 4X2 3X2 3X2 19:40 AS 05:00:20 A,TMA 4X1 4X2 3X2 3X2 19:40 AS 05:00:20 A
261,TMA 4X1 4X2 3X2 3X2 19:40 AS 05:00:20 B,TMA 4X1 4X2 3X2 3X2 19:40 AS 05:00:20 B
262,TMA 4X1 4X2 3X2 3X2 19:40 AS 05:00:20 C,TMA 4X1 4X2 3X2 3X2 19:40 AS 05:00:20 C
263,0129PA SEG A SEX 19:40 AS 05:00:40 SEX 04:40,0129PA SEG A SEX 19:40 AS 05:00:40 SEX 04:40
264,0130 SEG A QUIN DAS 05:30 AS 15:00:30 SEX DAS 05:30 AS 14:00:30 H,0130 SEG A QUIN DAS 05:30 AS 15:00:30 SEX DAS 05:30 AS 14:00:30 H
265,0131A ESCALA 4X2 06:00 AS 15:00,0131A ESCALA 4X2 06:00 AS 15:00
266,0132A ESCALA 4X2 14:00 AS 23:00,0132A ESCALA 4X2 14:00 AS 23:00
267,0133A ESCALA 4X2 22:00 AS 07:00,0133A ESCALA 4X2 22:00 AS 07:00
268,0131B ESCALA 4X2 06:00 AS 15:00,0131B ESCALA 4X2 06:00 AS 15:00
269,0131C ESCALA 4X2 06:00 AS 15:00,0131C ESCALA 4X2 06:00 AS 15:00
270,0132B ESCALA 4X2 14:00 AS 23:00,0132B ESCALA 4X2 14:00 AS 23:00
271,0132C ESCALA 4X2 14:00 AS 23:00,0132C ESCALA 4X2 14:00 AS 23:00
272,0133B ESCALA 4X2 22:00 AS 07:00,0133B ESCALA 4X2 22:00 AS 07:00
273,0133C ESCALA 4X2 22:00 AS 07:00,0133C ESCALA 4X2 22:00 AS 07:00
274,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00
275,PA SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00,PA SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00
276,SEG A SEX 08:00 AS 17:00 SAB 08:00:00 AS 12:00:00,SEG A SEX 08:00 AS 17:00 SAB 08:00:00 AS 12:00:00
277,PA SEG A SEX 08:00 AS 17:00 SAB 08:00:00 AS 12:00:00,PA SEG A SEX 08:00 AS 17:00 SAB 08:00:00 AS 12:00:00
278,SEG A SEX 08:00 AS 17:00,SEG A SEX 08:00 AS 17:00
279,PA SEG A SEX 08:00 AS 17:00,PA SEG A SEX 08:00 AS 17:00
280,SEG A SEX 20:00 AS 05:00:48,SEG A SEX 20:00 AS 05:00:48
281,PA SEG A SEX 20:00 AS 05:00:48,PA SEG A SEX 20:00 AS 05:00:48
282,12 X 36 DIURNO,12 X 36 DIURNO
283,PA 12 X 36 DIURNO,PA 12 X 36 DIURNO
284,12 X 36 NOTURNO,12 X 36 NOTURNO
285,PA 12 X 36 NOTURNO,PA 12 X 36 NOTURNO
286,SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
287,PA SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,PA SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
288,SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00,SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00
289,PA SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00,PA SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00
290,SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00,SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00
291,PA SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00,PA SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00
292,SEG A SAB DAS 08:00 AS 14:00:20,SEG A SAB DAS 08:00 AS 14:00:20
293,PA SEG A SAB DAS 08:00 AS 14:00:20,PA SEG A SAB DAS 08:00 AS 14:00:20
294,SEG A SAB DAS 13:40 AS 20:00,SEG A SAB DAS 13:40 AS 20:00
295,PA SEG A SAB DAS 13:40 AS 20:00,PA SEG A SAB DAS 13:40 AS 20:00
296,SEG A SAB DAS 15:40 AS 22:00,SEG A SAB DAS 15:40 AS 22:00
297,PA SEG A SAB DAS 15:40 AS 22:00,PA SEG A SAB DAS 15:40 AS 22:00
298,SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
299,PA SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,PA SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
300,SEG A SAB 09:00 AS 15:00:20,SEG A SAB 09:00 AS 15:00:20
301,PA SEG A SAB 09:00 AS 15:00:20,PA SEG A SAB 09:00 AS 15:00:20
302,SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00,SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00
303,PA SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00,PA SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00
304,SEG A SAB 07:00 AS 15:00:20,SEG A SAB 07:00 AS 15:00:20
305,PA SEG A SAB 07:00 AS 15:00:20,PA SEG A SAB 07:00 AS 15:00:20
306,SEG A SAB 13:00 AS 21:00:20,SEG A SAB 13:00 AS 21:00:20
307,PA SEG A SAB 13:00 AS 21:00:20,PA SEG A SAB 13:00 AS 21:00:20
308,6X1 5X2 07:00 AS 17:00,6X1 5X2 07:00 AS 17:00
309,PA 6X1 5X2 07:00 AS 17:00,PA 6X1 5X2 07:00 AS 17:00
310,SEG A QUI 14:00 AS 00:00 SEX 14:00 AS 23:00,SEG A QUI 14:00 AS 00:00 SEX 14:00 AS 23:00
311,PA SEG A QUI 14:00 AS 00:00 SEX 14:00 AS 23:00,PA SEG A QUI 14:00 AS 00:00 SEX 14:00 AS 23:00
312,SEG A QUI 22:00 AS 08:00 SEX 22:00 AS 07:00,SEG A QUI 22:00 AS 08:00 SEX 22:00 AS 07:00
313,PA SEG A QUI 22:00 AS 08:00 SEX 22:00 AS 07:00,PA SEG A QUI 22:00 AS 08:00 SEX 22:00 AS 07:00
314,SEG A QUI 20:00 AS 06:00 SEX 20:00 AS 05:00,SEG A QUI 20:00 AS 06:00 SEX 20:00 AS 05:00
315,PA SEG A QUI 20:00 AS 06:00 SEX 20:00 AS 05:00,PA SEG A QUI 20:00 AS 06:00 SEX 20:00 AS 05:00
316,SEG A QUI 21:00 AS 07:00 SEX 21:00 AS 06:00,SEG A QUI 21:00 AS 07:00 SEX 21:00 AS 06:00
317,PA SEG A QUI 21:00 AS 07:00 SEX 21:00 AS 06:00,PA SEG A QUI 21:00 AS 07:00 SEX 21:00 AS 06:00
318,SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30,SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30
319,PA SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30,PA SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30
320,SEG A QUI 05:00 AS 15:00 SEX 05:00 AS 14:00,SEG A QUI 05:00 AS 15:00 SEX 05:00 AS 14:00
321,PA SEG A QUI 05:00 AS 15:00 SEX 05:00 AS 14:00,PA SEG A QUI 05:00 AS 15:00 SEX 05:00 AS 14:00
322,SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00,SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00
323,PA SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00,PA SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00
324,TER A SEX 10:00 AS 20:00 SAB 10:00 AS 19:00,TER A SEX 10:00 AS 20:00 SAB 10:00 AS 19:00
325,PA TER A SEX 10:00 AS 20:00 SAB 10:00 AS 19:00,PA TER A SEX 10:00 AS 20:00 SAB 10:00 AS 19:00
326,SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00,SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00
327,PA SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00,PA SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00
328,SEG A QUI 06:30 AS 16:00:30 SEX 06:30 AS 15:00:30,SEG A QUI 06:30 AS 16:00:30 SEX 06:30 AS 15:00:30
329,PA SEG A QUI 06:30 AS 16:00:30 SEX 06:30 AS 15:00:30,PA SEG A QUI 06:30 AS 16:00:30 SEX 06:30 AS 15:00:30
330,SEG A SEX 19:00 AS 05:00,SEG A SEX 19:00 AS 05:00
331,PA SEG A SEX 19:00 AS 05:00,PA SEG A SEX 19:00 AS 05:00
332,12 X 36 TARDE,12 X 36 TARDE
333,PA 12 X 36 TARDE,PA 12 X 36 TARDE
334,TER A SEX 07:00 AS 17:00 SAB 07:00 AS 16:00,TER A SEX 07:00 AS 17:00 SAB 07:00 AS 16:00
335,PA TER A SEX 07:00 AS 17:00 SAB 07:00 AS 16:00,PA TER A SEX 07:00 AS 17:00 SAB 07:00 AS 16:00
336,SEG A QUI 13:00 AS 23:00 SEX 13:00 22:00,SEG A QUI 13:00 AS 23:00 SEX 13:00 22:00
337,PA SEG A QUI 13:00 AS 23:00 SEX 13:00 22:00,PA SEG A QUI 13:00 AS 23:00 SEX 13:00 22:00
338,SEG A SEX 08:00 AS 15:00,SEG A SEX 08:00 AS 15:00
339,PA SEG A SEX 08:00 AS 15:00,PA SEG A SEX 08:00 AS 15:00
340,SEG A SEX 11:00 AS 18:00,SEG A SEX 11:00 AS 18:00
341,PA SEG A SEX 11:00 AS 18:00,PA SEG A SEX 11:00 AS 18:00
342,SEG A SEX 12:00 AS 19:00,SEG A SEX 12:00 AS 19:00
343,PA SEG A SEX 12:00 AS 19:00,PA SEG A SEX 12:00 AS 19:00
344,SEG A SEX 07:00 AS 14:00,SEG A SEX 07:00 AS 14:00
345,PA SEG A SEX 07:00 AS 14:00,PA SEG A SEX 07:00 AS 14:00
346,SEG A SEX 10:00 AS 17:00,SEG A SEX 10:00 AS 17:00
347,PA SEG A SEX 10:00 AS 17:00,PA SEG A SEX 10:00 AS 17:00
348,SEG 07:00 AS 16:00 TER A SEX 07:00 AS 17:00,SEG 07:00 AS 16:00 TER A SEX 07:00 AS 17:00
349,PA SEG 07:00 AS 16:00 TER A SEX 07:00 AS 17:00,PA SEG 07:00 AS 16:00 TER A SEX 07:00 AS 17:00
350,SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00,SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00
351,PA SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00,PA SEG 08:00 AS 17:00 TER A SEX 08:00 AS 18:00
352,SEG A QUI 05:30 AS 15:00:30 SEX 05:30 AS 14:00:30,SEG A QUI 05:30 AS 15:00:30 SEX 05:30 AS 14:00:30
353,PA SEG A QUI 05:30 AS 15:00:30 SEX 05:30 AS 14:00:30,PA SEG A QUI 05:30 AS 15:00:30 SEX 05:30 AS 14:00:30
354,ESCALA 4X2 06:00 AS 15:00 A,ESCALA 4X2 06:00 AS 15:00 A
355,PA ESCALA 4X2 06:00 AS 15:00 A,PA ESCALA 4X2 06:00 AS 15:00 A
356,ESCALA 4X2 06:00 AS 15:00 B,ESCALA 4X2 06:00 AS 15:00 B
357,PA ESCALA 4X2 06:00 AS 15:00 B,PA ESCALA 4X2 06:00 AS 15:00 B
358,ESCALA 4X2 06:00 AS 15:00 C,ESCALA 4X2 06:00 AS 15:00 C
359,PA ESCALA 4X2 06:00 AS 15:00 C,PA ESCALA 4X2 06:00 AS 15:00 C
360,ESCALA 4X2 14:00 AS 23:00 A,ESCALA 4X2 14:00 AS 23:00 A
361,PA ESCALA 4X2 14:00 AS 23:00 A,PA ESCALA 4X2 14:00 AS 23:00 A
362,ESCALA 4X2 14:00 AS 23:00 B,ESCALA 4X2 14:00 AS 23:00 B
363,PA ESCALA 4X2 14:00 AS 23:00 B,PA ESCALA 4X2 14:00 AS 23:00 B
364,ESCALA 4X2 14:00 AS 23:00 C,ESCALA 4X2 14:00 AS 23:00 C
365,PA ESCALA 4X2 14:00 AS 23:00 C,PA ESCALA 4X2 14:00 AS 23:00 C
366,ESCALA 4X2 22:00 AS 07:00 A,ESCALA 4X2 22:00 AS 07:00 A
367,PA ESCALA 4X2 22:00 AS 07:00 A,PA ESCALA 4X2 22:00 AS 07:00 A
368,ESCALA 4X2 22:00 AS 07:00 B,ESCALA 4X2 22:00 AS 07:00 B
369,PA ESCALA 4X2 22:00 AS 07:00 B,PA ESCALA 4X2 22:00 AS 07:00 B
370,ESCALA 4X2 22:00 AS 07:00 C,ESCALA 4X2 22:00 AS 07:00 C
371,PA ESCALA 4X2 22:00 AS 07:00 C,PA ESCALA 4X2 22:00 AS 07:00 C
372,SEG A QUI 06:00 AS 16:00 SEX DAS 06:00 AS 15:00,SEG A QUI 06:00 AS 16:00 SEX DAS 06:00 AS 15:00
373,PA SEG A QUI 06:00 AS 16:00 SEX DAS 06:00 AS 15:00,PA SEG A QUI 06:00 AS 16:00 SEX DAS 06:00 AS 15:00
374,SEG A QUI 18:00 AS 04:00 SEX 18:00 AS 03:00,SEG A QUI 18:00 AS 04:00 SEX 18:00 AS 03:00
375,PA SEG A QUI 18:00 AS 04:00 SEX 18:00 AS 03:00,PA SEG A QUI 18:00 AS 04:00 SEX 18:00 AS 03:00
376,SEG A QUI 16:00 AS 02:00 SEX 16:00 AS 01:00,SEG A QUI 16:00 AS 02:00 SEX 16:00 AS 01:00
377,PA SEG A QUI 16:00 AS 02:00 SEX 16:00 AS 01:00,PA SEG A QUI 16:00 AS 02:00 SEX 16:00 AS 01:00
378,SEG A QUI 07:00 AS 17:00 SEX 07:00:00 AS 16:00:00,SEG A QUI 07:00 AS 17:00 SEX 07:00:00 AS 16:00:00
379,PA SEG A QUI 07:00 AS 17:00 SEX 07:00:00 AS 16:00:00,PA SEG A QUI 07:00 AS 17:00 SEX 07:00:00 AS 16:00:00
380,SEG A SEX 13:00 AS 20:00,SEG A SEX 13:00 AS 20:00
381,ESCALA TMA 4X1 X42 3X2 3X2,ESCALA TMA 4X1 X42 3X2 3X2
382,ESCALA 4X2 NOITE,ESCALA 4X2 NOITE
383,ESCALA 4X2 TARDE,ESCALA 4X2 TARDE
384,ESCALA 4X2 MANHA,ESCALA 4X2 MANHA
385,TER A SEX 12:00 AS 22:00 SAB 12:00 AS 21:00,TER A SEX 12:00 AS 22:00 SAB 12:00 AS 21:00
386,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00.,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00.
387,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00..,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00..
388,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00...,SEG A QUI 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00...
389,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00.,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00.
390,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00..,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00..
391,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00...,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00...
392,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00.,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00.
393,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00.,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00.
394,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00...,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00...
395,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00..,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00..
396,0003 SEG A SEX 08:00 AS 17:00.....,0003 SEG A SEX 08:00 AS 17:00.....
397,0003 SEG A SEX 08:00 AS 17:00..,0003 SEG A SEX 08:00 AS 17:00..
398,0003 SEG A SEX 08:00 AS 17:00.,0003 SEG A SEX 08:00 AS 17:00.
399,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00..,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00..
400,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00...,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00...
401,0004 SEG A SEX 11:00 AS 20:00 RECIFE.,0004 SEG A SEX 11:00 AS 20:00 RECIFE.
402,0004 SEG A SEX 11:00 AS 20:00 RECIFE..,0004 SEG A SEX 11:00 AS 20:00 RECIFE..
403,0004 SEG A SEX 11:00 AS 20:00 RECIFE...,0004 SEG A SEX 11:00 AS 20:00 RECIFE...
404,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00....,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00....
405,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00....,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00....
406,0003 SEG A SEX 08:00 AS 17:00....,0003 SEG A SEX 08:00 AS 17:00....
407,0004 SEG A SEX 11:00 AS 20:00 RECIFE....,0004 SEG A SEX 11:00 AS 20:00 RECIFE....
408,0005 SEG A SEX 20:00 AS 05:00:48.,0005 SEG A SEX 20:00 AS 05:00:48.
409,0005 SEG A SEX 20:00 AS 05:00:48..,0005 SEG A SEX 20:00 AS 05:00:48..
410,0005 SEG A SEX 20:00 AS 05:00:48...,0005 SEG A SEX 20:00 AS 05:00:48...
411,0005 SEG A SEX 20:00 AS 05:00:48....,0005 SEG A SEX 20:00 AS 05:00:48....
412,0006 12X36 DIURNO.,0006 12X36 DIURNO.
413,0006 12X36 DIURNO..,0006 12X36 DIURNO..
414,0006 12X36 DIURNO....,0006 12X36 DIURNO....
415,0006 12X36 DIURNO...,0006 12X36 DIURNO...
416,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00.....,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00.....
417,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00.....,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00.....
418,0003 SEG A SEX 08:00 AS 17:00......,0003 SEG A SEX 08:00 AS 17:00......
419,0004 SEG A SEX 11:00 AS 20:00 RECIFE.....,0004 SEG A SEX 11:00 AS 20:00 RECIFE.....
420,0005 SEG A SEX 20:00 AS 05:00:48.....,0005 SEG A SEX 20:00 AS 05:00:48.....
421,0006 12X36 DIURNO.....,0006 12X36 DIURNO.....
422,0007 12X36 NOTURNO.,0007 12X36 NOTURNO.
423,0007 12X36 NOTURNO..,0007 12X36 NOTURNO..
424,0007 12X36 NOTURNO....,0007 12X36 NOTURNO....
425,0007 12X36 NOTURNO.....,0007 12X36 NOTURNO.....
426,0007 12X36 NOTURNO......,0007 12X36 NOTURNO......
427,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00.,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00.
428,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00..,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00..
429,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00...,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00...
430,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00....,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00....
431,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00.....,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00.....
432,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00....,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00....
433,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00.....,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00.....
434,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00.,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00.
435,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00..,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00..
