CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA
1,2a a 6a 08 as 18 com 1h intervalo,SEG A SEX 08:00 | 12:00 | 13:00 | 18:00
2,2a sab de 7 as 13 com 1:12h intervalo,SEG A SAB 07:00 | 10:24 | 11:36 | 13:00
3,2a a sex de 06 as 12 com 00:15min,SEG A SEX 06:00 | 09:00 | 09:15 | 12:00
