CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA,carga_horaria,JOR_batida_automatica
11377,SEG A QUI 20:00 AS 05:24 / SEX 20:00 AS 04:32 - 44H - 11377,SEG A QUI 20:00 | 05:24 E SEX 20:00 | 04:32,,
11378,SEG A QUI 06:00 AS 16:00 / SEX 06:00 AS 15:00 - 44H - 11378,SEG A QUI 06:00 | 16:00 E SEX 06:00 | 15:00,,
11379,SEG A SEX 07:45 AS 17:05 - 40H - 11379,SEG A SEX 07:45 | 17:05,,
11380,SEG A QUI 09:00 AS 19:20 / SEX 09:00 AS 18:20 - 44H - 11380,SEG A QUI 09:00 | 19:20 E SEX 09:00 | 18:20,,
11381,SEG A QUI 22:00 AS 07:10 / SEX 22:00 AS 06:18 - 44H - 11381,SEG A QUI 22:00 | 07:10 E SEX 22:00 | 06:18,,
11382,SEG A QUI 12:00 AS 22:18 / SEX 12:00 AS 21:20 - 44H - 11382,SEG A QUI 12:00 | 22:18 E SEX 12:00 | 21:20,,
11383,SEG A QUI 07:50 AS 17:10 / SEX 07:50 AS 16:10 - 40H - 11383,SEG A QUI 07:50 | 17:10 E SEX 07:50 | 16:10,,
11384,SEG A QUI 17:32 AS 03:20 / SEX 17:32 AS 02:20 - 44H - 11384,SEG A QUI 17:32 | 03:20 E SEX 17:32 | 02:20,,
11385,SEG A QUI 08:00 AS 18:00 / SEX 08:00 AS 17:00 - 44H (SERV EXT ) - 11385,SEG A QUI 08:00 | 18:00 E SEX 08:00 | 17:00,,
11386,SEG A QUI 17:00 AS 02:10 / SEX 17:00 AS 01:17 - 44H - 11386,SEG A QUI 17:00 | 02:10 E SEX 17:00 | 01:17,,
11387,SEG A QUI 15:40 A 01:30 / SEX 15:40 A 00:37 - 44H - 11387,SEG A QUI 15:40 | 01:30 E SEX 15:40 | 00:37,,
21014,SEG A SEX - 08:00 AS 18:00 - 42H C/ 1H30MIN ALMOÃ‡O - 21014,SEG A SEX 08:00 | 18:00,,
2,,,,
